name,genres,popularity,followers
Radiohead,"art rock, alternative rock",84,13702219
Hozier,,81,9089694
Mac DeMarco,"indie, lo-fi indie",79,7949946
Tame Impala,"neo-psychedelic, indie",82,9394095
Fleetwood Mac,"classic rock, yacht rock, soft rock",83,13904657
The Strokes,"garage rock, indie rock, alternative rock",74,6430119
The Weeknd,,93,112359431
Kanye West,rap,88,30944275
Drake,rap,95,102653451
Coldplay,,87,60611615
Lord Huron,,76,2150285
Travis Scott,rap,89,40941213
Gorillaz,,82,14384146
Dire Straits,classic rock,76,8811293
Daft Punk,"french house, electronic, electro",81,10833551
Cigarettes After Sex,dream pop,83,17253311
Beach House,dream pop,71,2788452
Mac Miller,,80,12142520
Frank Ocean,,83,20174457
J. Cole,rap,82,27016776
Arctic Monkeys,"indie, garage rock",84,31924118
Lorde,,79,10516785
Harry Styles,,80,34084270
"Tyler, The Creator",,86,24282565
Lana Del Rey,,88,51439037
The Lumineers,"folk pop, indie folk",76,5891904
Mt. Joy,,67,643216
Adele,soft pop,82,66485219
The Beatles,"classic rock, psychedelic rock",82,30653297
Khalid,,81,16915042
Childish Gambino,,77,14521187
Empire Of The Sun,,77,1999666
Fleet Foxes,"indie folk, folk, indie",61,1445159
Steve Lacy,,77,6391999
Cannons,,59,445512
Parcels,indie soul,70,1072578
Kendrick Lamar,"hip hop, west coast hip hop",89,44367055
Laufey,,82,8373592
Rex Orange County,bedroom pop,74,6723525
Bruno Mars,,89,75197933
Red Hot Chili Peppers,"funk rock, alternative rock, rock",82,23153901
The Neighbourhood,,82,21483441
Lil Yachty,,75,10890555
Surfaces,,61,982494
Post Malone,,85,47665421
Noah Kahan,,81,4358754
Stephen Sanchez,,70,1861884
Mazzy Star,"dream pop, shoegaze, slowcore",70,1810581
Metronomy,"new rave, alternative dance",59,1102938
Calvin Harris,edm,84,23064226
