name,genres,popularity,followers
Radiohead,"art rock, alternative rock",84,13702219
Hozier,,81,9089694
The Strokes,"garage rock, indie rock, alternative rock",74,6430119
Gorillaz,,82,14384146
Tame Impala,"neo-psychedelic, indie",82,9394095
Dire Straits,classic rock,76,8811293
The Weeknd,,93,112359431
Cafe Music BGM channel,"jazz, bossa nova",66,280346
Daft Punk,"french house, electronic, electro",81,10833551
Chris Stapleton,"country, outlaw country",81,8979941
Joe Dassin,"chanson, variété française, french pop",59,715246
Kanye West,rap,88,30944275
Jeff Buckley,,72,2259951
Travis Scott,rap,89,40941213
Metronomy,"new rave, alternative dance",59,1102938
Coldplay,,87,60611615
Jazzy Coffee,jazz,63,12954
Lil Yachty,,75,10890555
Arctic Monkeys,"indie, garage rock",84,31924118
Drake,rap,95,102653451
Beach House,dream pop,71,2788452
Emile Mosseri,,60,107813
Adele,soft pop,82,66485219
Johnny Cash,"classic country, outlaw country, country",72,6890710
AC/DC,"rock, hard rock, classic rock, rock and roll",80,32194529
KALEO,,70,2037602
Red Hot Chili Peppers,"funk rock, alternative rock, rock",82,23153901
"Tyler, The Creator",,86,24282565
Kings of Leon,,75,5746194
The Marías,bedroom pop,82,3691461
Mac DeMarco,"indie, lo-fi indie",79,7949946
Fleetwood Mac,"classic rock, yacht rock, soft rock",83,13904657
Cigarettes After Sex,dream pop,83,17253311
Medieval Lofi,"medieval, lo-fi",43,44000
Hans Zimmer,soundtrack,76,4753638
Mac Miller,,80,12142520
Lana Del Rey,,88,51439037
Sam Smith,soft pop,80,26218135
Pink Floyd,"progressive rock, psychedelic rock, classic rock, art rock, rock",79,22658725
Kendrick Lamar,"hip hop, west coast hip hop",89,44367055
Childish Gambino,,77,14521187
Frank Ocean,,83,20174457
Labrinth,,72,3622706
David Guetta,edm,86,27096875
Cozy Bedroom,jazz,57,2905
Khalid,,81,16915042
Paolo Nutini,,64,1539089
Billy Joel,soft rock,78,7367489
Niemen,big beat,39,177888
sombr,,85,2683110
