name,artist,user_listens,time_range
Cold,Chris Stapleton,50,short_term
Backseat,Balu Brigada,49,short_term
The Message,Still Corners,48,short_term
Like a Stone,Audioslave,47,short_term
Cherry Wine - Live,Hozier,46,short_term
Ode To The Mets,The Strokes,45,short_term
Tennessee Whiskey,Chris Stapleton,44,short_term
My Love (feat. T.I.),Justin Timberlake,43,short_term
No Pole,Don Toliver,42,short_term
DARE (feat. Shaun Ryder & Roses Gabor),Gorillaz,41,short_term
Where Have You Been,Rihanna,40,short_term
L'été indien,Joe Dassin,39,short_term
Bad Boys,Inner Circle,38,short_term
All I Want for Christmas Is You,Mariah Carey,37,short_term
The Happy Dictator (feat. Sparks),Gorillaz,36,short_term
Selfless,The Strokes,35,short_term
L'amour l'amour l'amour,Mouloudji,34,short_term
The Trip - 2023 Remaster,Still Corners,33,short_term
Teenage Dirtbag,Wheatus,32,short_term
Flashed Junk Mind,Milky Chance,31,short_term
Purple Gladiolus,Cafe Music BGM channel,30,short_term
"Writing's On The Wall - From ""Spectre"" Soundtrack",Sam Smith,29,short_term
Punkrocker (feat. Iggy Pop) - As featured in Superman,Teddybears,28,short_term
Think I'm In Love With You,Chris Stapleton,27,short_term
Je pense à toi,Amadou & Mariam,26,short_term
All Caps,Madvillain,25,short_term
Lady - Hear Me Tonight,Modjo,24,short_term
Les Champs-Elysées,Joe Dassin,23,short_term
Loser,Tame Impala,22,short_term
Guilty Conscience,070 Shake,21,short_term
Bamboléo,Gipsy Kings,20,short_term
Ostatnia nocka,Yugopolis,19,short_term
PRIDE.,Kendrick Lamar,18,short_term
The Less I Know The Better,Tame Impala,17,short_term
Creep,Radiohead,16,short_term
Soda Pop,Saja Boys,15,short_term
Cortado Passion,Cafe Music BGM channel,14,short_term
Chocolate Tart,Cafe Music BGM channel,13,short_term
Sizzling Sun,Cafe Music BGM channel,12,short_term
Cruel World,Willie Nelson,11,short_term
Amour plastique,Videoclub,10,short_term
Enchanting Mazagran,Cafe Music BGM channel,9,short_term
Million Years Ago,Adele,8,short_term
Chill Drip,Cafe Music BGM channel,7,short_term
Hotel California - 2013 Remaster,Eagles,6,short_term
Crazy,Stephen Kramer Glickman,5,short_term
P.A.L.O.M.A,Rebeka Warrior,4,short_term
CRAZY,LE SSERAFIM,3,short_term
Money For Nothing - Remastered 1996,Dire Straits,2,short_term
Whiskey Glasses,Morgan Wallen,1,short_term
Jigsaw Falling Into Place,Radiohead,50,medium_term
"Lover, You Should've Come Over",Jeff Buckley,49,medium_term
Je pense à toi,Amadou & Mariam,48,medium_term
90210 (feat. Kacy Hill),Travis Scott,47,medium_term
Nude,Radiohead,46,medium_term
Selfless,The Strokes,45,medium_term
All I Need,Radiohead,44,medium_term
15 Step,Radiohead,43,medium_term
Love & Hate,Michael Kiwanuka,42,medium_term
