name,artist,album,popularity,duration_ms
Jigsaw Falling Into Place,Radiohead,In Rainbows,79,248893
Exit Music (For A Film),Radiohead,OK Computer,80,267186
Reckoner,Radiohead,In Rainbows,68,290213
Who We Are,Hozier,Unreal Unearth,56,245666
Nude,Radiohead,In Rainbows,74,255386
Everything In Its Right Place,Radiohead,Kid A,75,251426
Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Playboi Carti, Madonna",Popular (Music from the HBO Original Series),82,215466
MY EYES,Travis Scott,UTOPIA,80,251249
No Surprises,Radiohead,OK Computer,86,229120
Creep,Radiohead,Pablo Honey,91,238640
Too Sweet,Hozier,Unheard,73,251424
Suspirium,Thom Yorke,Suspiria (Music for the Luca Guadagnino Film),56,201768
Fade Into You,Mazzy Star,So Tonight That I Might See,86,295600
Cold Cold Cold,Cage The Elephant,Tell Me I'm Pretty,71,214386
How to Disappear Completely,Radiohead,Kid A,73,356333
My Love Mine All Mine,Mitski,The Land Is Inhospitable and So Are We,87,137773
Need 2,Pinegrove,Everything So Far,64,191796
Ode To The Mets,The Strokes,The New Abnormal,70,351786
Weird Fishes / Arpeggi,Radiohead,In Rainbows,78,318186
Eat Your Young,Hozier,Unreal Unearth,66,243946
O Children,Nick Cave & The Bad Seeds,Abattoir Blues / The Lyre of Orpheus,72,409546
High and Dry,Radiohead,The Bends,79,257480
Praise Jah In The Moonlight,YG Marley,Praise Jah In The Moonlight,73,263040
De Selby (Part 1),Hozier,Unreal Unearth,55,219693
Brothers in Arms,Dire Straits,Brothers in Arms,56,419400
All Things End,Hozier,Unreal Unearth,55,216693
2 + 2 = 5,Radiohead,Hail To the Thief,63,199360
The Adults Are Talking,The Strokes,The New Abnormal,80,309053
Why You Waiting?,"Doktor, Serum, Agent Sasco (Assassin)",Why You Waiting?,31,155071
A Man Without Love,Engelbert Humperdinck,A Man Without Love,69,203133
Nobody's Soldier,Hozier,Unreal Unearth: Unaired,59,237200
Lotus Flower,Radiohead,The King Of Limbs,62,300219
Let Down,Radiohead,OK Computer,89,299560
All I Need,Radiohead,In Rainbows,83,228746
Ella Baila Sola,"Eslabon Armado, Peso Pluma",Ella Baila Sola,76,165671
Karma Police,Radiohead,OK Computer,81,264066
Your Rocky Spine,Great Lake Swimmers,Ongiara,58,216453
Young Folks,Peter Bjorn and John,Writer's Block,77,276693
"Lover, You Should've Come Over",Jeff Buckley,Grace,84,404213
Everything I Am Is Yours,Villagers,Darling Arithmetic,60,210013
Money for Nothing,Dire Straits,Brothers in Arms,67,506400
Space Song,Beach House,Depression Cherry,77,320466
Adventure of a Lifetime,Coldplay,A Head Full of Dreams,83,263786
Bando,"Octomber, Octomber Covers, Zickcovers",Bando,50,162730
"Double Life - From ""Despicable Me 4""",Pharrell Williams,"Double Life (From ""Despicable Me 4"")",71,190782
Stockholmsvy,"Hannes, waterbaby",Stockholmsvy,66,161396
FE!N (feat. Playboi Carti),"Travis Scott, Playboi Carti",UTOPIA,84,191700
Northern Attitude (with Hozier),"Noah Kahan, Hozier",Northern Attitude (with Hozier),70,267256
Movement,Hozier,"Wasteland, Baby!",70,237800
Real In Rio,"Jesse Eisenberg, Jamie Foxx, Anne Hathaway, George Lopez, will.i.am, The Rio Singers",Rio: Music From The Motion Picture,55,227946
