name,artist,album,popularity,duration_ms
Jigsaw Falling Into Place,Radiohead,In Rainbows,79,248893
"Lover, You Should've Come Over",Jeff Buckley,Grace,84,404213
Je pense à toi,Amadou & Mariam,Sou Ni Tile,52,316880
90210 (feat. Kacy Hill),"Travis Scott, Kacy Hill",Rodeo,81,339066
Nude,Radiohead,In Rainbows,74,255386
All I Need,Radiohead,In Rainbows,83,228746
Selfless,The Strokes,The New Abnormal,76,222093
15 Step,Radiohead,In Rainbows,67,237293
Love & Hate,Michael Kiwanuka,Love & Hate,68,427093
Weird Fishes / Arpeggi,Radiohead,In Rainbows,78,318186
Reckoner,Radiohead,In Rainbows,68,290213
On the Nature of Daylight,"Max Richter, Louisa Fuller, Natalia Bonner, John Metcalfe, Philip Sheppard, Chris Worsey",The Blue Notebooks (15 Years),68,371746
DARE (feat. Shaun Ryder & Roses Gabor),"Gorillaz, Shaun Ryder, Roses Gabor",Demon Days,84,244999
Decks Dark,Radiohead,A Moon Shaped Pool,61,281011
House Of Cards,Radiohead,In Rainbows,69,328293
Ode To The Mets,The Strokes,The New Abnormal,70,351786
Fade To Black,Dire Straits,On Every Street,57,227906
sAy sOMETHINg,Lil Yachty,Let’s Start Here.,51,212903
Bad Boys,Inner Circle,Sweat (A La La La La Long),71,231266
NOKIA,Drake,$ome $exy $ongs 4 U,86,241023
Way down We Go,KALEO,A/B,84,213706
Everything In Its Right Place,Radiohead,Kid A,75,251426
Do I Wanna Know? - Live At the BBC,Hozier,Hozier (Special Edition),73,257560
Exit Music (For A Film),Radiohead,OK Computer,80,267186
Feather (feat. Cise Starr & Akin from CYNE),"Nujabes, Cise Starr & Akin from CYNE",Modal Soul,67,175360
A Cold Sunday,Lil Yachty,A Cold Sunday,69,107313
Długość dźwięku samotności,Myslovitz,Miłość w czasach popkultury,63,251053
Daydreaming,Radiohead,A Moon Shaped Pool,62,384438
2 + 2 = 5,Radiohead,Hail To the Thief,63,199360
Hymn to Virgil,Hozier,Unreal Unearth: Unending,56,202937
Love's Been Good To Me,Johnny Cash,American V: A Hundred Highways,36,198466
Bleed (feat. Omar Apollo),"Malcolm Todd, Omar Apollo",Malcolm Todd,69,179373
Lotus Flower,Radiohead,The King Of Limbs,62,300219
Let Down,Radiohead,OK Computer,89,299560
That You Are,"Hozier, Bedouine",Unreal Unearth: Unaired,46,256519
Maybe Tomorrow,Stereophonics,You Gotta Go There To Come Back,73,272946
Million Years Ago,Adele,25,64,227065
O Children,Nick Cave & The Bad Seeds,Abattoir Blues / The Lyre of Orpheus,72,409546
She Wants,Metronomy,The English Riviera,50,231386
One Night/All Night,"Justice, Tame Impala",Hyperdrama,64,276066
The Look,Metronomy,The English Riviera,71,277653
"Writing's On The Wall - From ""Spectre"" Soundtrack",Sam Smith,In The Lonely Hour (10th Anniversary Edition),57,278946
Why Worry - Remastered 1996,Dire Straits,Brothers In Arms (Remastered 1996),59,504826
Only in My Dreams,The Marías,"Superclean, Vol. I",70,170893
The Boat I Row,Tame Impala,The Slow Rush B-Sides & Remixes,63,238320
Money For Nothing - Remastered 1996,Dire Straits,Brothers In Arms (Remastered 1996),76,505333
Angel of Small Death and the Codeine Scene,Hozier,Hozier (Expanded Edition),64,219213
Movies,Weyes Blood,Titanic Rising,55,353732
Fly Love,Jamie Foxx,Rio: Music From The Motion Picture,62,159000
Disparate Youth,Santigold,Master of My Make-Believe,73,284400
