name,artist,album,popularity,duration_ms
Like a Stone,Audioslave,Audioslave,71,293960
Cherry Wine - Live,Hozier,Hozier (Expanded Edition),68,240146
Ode To The Mets,The Strokes,The New Abnormal,70,351786
Backseat,Balu Brigada,Portal,65,383400
No Pole,Don Toliver,Love Sick (Deluxe),87,187613
The Message,Still Corners,Slow Air,64,292480
Paroles… paroles…,"Dalida, Alain Delon",Julien,59,245146
DARE (feat. Shaun Ryder & Roses Gabor),"Gorillaz, Shaun Ryder, Roses Gabor",Demon Days,84,244999
Punkrocker (feat. Iggy Pop) - As featured in Superman,"Teddybears, Iggy Pop",Soft Machine,74,246786
Where Have You Been,Rihanna,Talk That Talk (Explicit),60,242680
Cold,Chris Stapleton,Starting Over,73,309853
Flashed Junk Mind,Milky Chance,Sadnecessary (Bonus Track Version),63,261973
Selfless,The Strokes,The New Abnormal,76,222093
90210 (feat. Kacy Hill),"Travis Scott, Kacy Hill",Rodeo,81,339066
Bad Boys,Inner Circle,Sweat (A La La La La Long),71,231266
All I Want for Christmas Is You,Mariah Carey,Merry Christmas,76,241106
L'été indien,Joe Dassin,Joe Dassin Éternel... (Edition deluxe),56,268560
Ostatnia nocka,"Yugopolis, Maciej Maleńczuk",Yugopolis 2,58,190560
The Trip - 2023 Remaster,Still Corners,Strange Pleasures: 10th Anniversary Edition (2023 Remaster),67,373266
Teenage Dirtbag,Wheatus,Wheatus,82,241666
Purple Gladiolus,Cafe Music BGM channel,Café at August,26,142100
L'amour l'amour l'amour,Mouloudji,"L'amour, l'amour, l'amour - Le meilleur de Mouloudji",44,181240
"Writing's On The Wall - From ""Spectre"" Soundtrack",Sam Smith,In The Lonely Hour (10th Anniversary Edition),57,278946
Tennessee Whiskey,Chris Stapleton,Traveller,84,293293
From The Start,Laufey,Bewitched,87,169573
Sweet,Cigarettes After Sex,Cigarettes After Sex,84,291640
Je pense à toi,Amadou & Mariam,Sou Ni Tile,52,316880
All Caps,"Madvillain, Madlib, MF DOOM",Madvillainy,70,130479
Loser,Tame Impala,Loser,80,223069
Les Champs-Elysées,Joe Dassin,Joe Dassin Éternel... (Edition deluxe),56,157386
Guilty Conscience,070 Shake,Modus Vivendi,57,213333
The Happy Dictator (feat. Sparks),"Gorillaz, Sparks",The Happy Dictator (feat. Sparks),74,284775
The Less I Know The Better,Tame Impala,Currents,87,216320
Creep,Radiohead,Pablo Honey,91,238640
Soda Pop,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",KPop Demon Hunters (Soundtrack from the Netflix Film),95,150686
Cortado Passion,Cafe Music BGM channel,Café at August,26,141986
Chocolate Tart,Cafe Music BGM channel,Café at August,25,131168
A Man Without Love,Engelbert Humperdinck,A Man Without Love,69,203133
Sizzling Sun,Cafe Music BGM channel,Café at August,27,129797
Amour plastique,"Videoclub, Adèle Castillon, Mattyeux",Euphories,74,225040
Enchanting Mazagran,Cafe Music BGM channel,Café at August,27,133653
Million Years Ago,Adele,25,64,227065
Chill Drip,Cafe Music BGM channel,Café at August,27,146506
Bamboléo,Gipsy Kings,Gipsy Kings,70,203333
Crazy,"Stephen Kramer Glickman, Marza Wilks",The Moving Company,34,266057
P.A.L.O.M.A,"Rebeka Warrior, Paloma, RAUMM",P.A.L.O.M.A,28,307742
CRAZY,LE SSERAFIM,CRAZY (Party Remixes 1),78,164554
Money For Nothing - Remastered 1996,Dire Straits,Brothers In Arms (Remastered 1996),76,505333
Whiskey Glasses,Morgan Wallen,If I Know Me,81,234346
Coco Jamboo,Mr. President,We See The Same Sun,74,218733
